Text,Sentiment,Timestamp
หยุดยิ้มไม่ด้ายเลยยยย,pos,12/8/2021 1:18:17
หยุดยิ้มไม่ได้เลย,pos,12/8/2021 1:18:31
มาตอนกำลังกินข้าวพอดีเลย,neu,12/8/2021 1:19:19
ดูช่องนี้บันเทิงตลอด เฮฮาไม่เบื่อเลย,pos,12/8/2021 18:40:28
ไบรอันเดอะซวย,neu,12/8/2021 18:42:38
โหดมากเลยครับ,pos,12/8/2021 18:43:28
ก็เฉยๆนะ,neu,12/8/2021 18:43:46
เสียงร้องเพราะมาก,pos,12/8/2021 18:45:28
FCครับ,pos,12/8/2021 18:45:39
ดูเพลินมากค่ะ,pos,12/8/2021 18:47:49
ไม่เห็นนานดูอ้วนขึ้นนะ,neg,12/8/2021 19:02:31
คอนเทนท์ดีมากๆเลย,pos,12/8/2021 19:03:20
ชอบแยกเล่นตายทุกที,neg,12/8/2021 19:23:45
แม่งสัมภาษณ์นานจังวะ,neg,12/8/2021 19:24:02
สนุกมากครับพี่ รอชมคลิปต่อไปนะครับ,pos,12/8/2021 19:25:48
อยากให้ทำคลิปกินเมนูกุ้งทั้งวัน เมนูไก่ทั้งวันอะไรแบบนี้ครับ,neu,12/8/2021 19:26:00
อยากเห็นพี่กินอาหารเกาหลีทั้งวัน,neu,12/8/2021 19:26:15
ชอบช่องนี้ที่สุดดูแล้วผ่อนคลาย,pos,12/8/2021 19:26:28
ดูทุกคลิป จนเก็บไปฝันเฉยเลย,pos,12/8/2021 19:26:48
ผมก็พึ่งเคยดูเหมือนกัน,neu,12/8/2021 19:30:02
เกมมันเจ๋งดีนะ,pos,12/8/2021 19:30:15
โหดจัด,pos,12/8/2021 19:32:50
ไอเทมไรบ้างครับ,neu,12/8/2021 19:33:04
งงกับไอเทม ที่โชว์ กับในเกมที่ซื้อจริงจะสอนก็เอาให้ถูกหน่อยดิ สับสนมาก,neg,12/8/2021 19:33:35
ทริคอะไรวะ กุเห็นพูดวนไปวนมาทั้งคลิป,neg,12/8/2021 19:34:03
อย่าโดนฆ่าก่อนนะพี่นะ,neu,12/8/2021 19:34:34
ดับไฟๆ,neu,12/8/2021 19:34:44
นกโดโดคือไรครับ,neu,12/8/2021 19:34:59
แยกกันตาย,neg,12/8/2021 19:38:51
กลับไปเล่นGTAเถอะ,neg,12/8/2021 20:20:40
มีซับไทยวันแรกที่เกมออกเลยไหมครับ,neu,12/8/2021 20:55:53
ข้อมูลดีมากครับ,pos,12/8/2021 20:56:18
โครตชอบคลิปนานๆอะ,pos,12/8/2021 20:57:14
เต็มอิ่มจริงคลิปนี้5555,pos,12/8/2021 21:00:35
ไม่มีให้สมัครสมาชิกเหรอครับ,neu,12/8/2021 21:01:16
เป็นกำลังใจให้นะคะ ติดตามคลิปต่อๆไปอยู่นะคะ,pos,12/8/2021 21:34:32
ชอบการเล่ามากครับ ฮาทั้งคลิป,pos,12/8/2021 22:11:08
ผมมีความสุขทุกครั้งที่ได้ดูพี่เล่นเกม,pos,12/8/2021 22:16:04
ยอดวิวน้อย,neu,12/8/2021 23:06:52
So cool!,pos,12/8/2021 23:07:13
สุดยอดมากเลยครับผม,pos,12/8/2021 23:07:22
ขอคำแนะนำในการเดินเกมหน่อยครับ,neu,12/8/2021 23:07:38
เก่งเกิ๊นน,pos,12/8/2021 23:08:01
ไอ้เหี้ยนี่เล่นโครตโง่เลยไอ้สัส,neg,12/8/2021 23:08:59
ติดตามให้แล้วนะค้าบ,pos,12/8/2021 23:09:03
ชอบรายการนี้มากเลยค่ะ,pos,12/8/2021 23:09:20
รอรายการนี้มาตลอดเลย,pos,12/8/2021 23:09:57
สุดเกินไปพี่,pos,12/8/2021 23:10:25
ตัดต่อได้น่ารำคาญมากครับ,neg,12/8/2021 23:14:30
อย่างชอบคอนเท้นนี้,pos,12/8/2021 23:16:25
ขอการตั้งค่า กราฟฟิก หน่อยครับ,neu,12/8/2021 23:16:36
ฮาเกิน5555,pos,12/8/2021 23:16:57
555,pos,12/8/2021 23:17:13
สนุก,pos,12/8/2021 23:17:32
เป็นทีมนึงที่เชื่อใจกันสูงมาก,pos,12/8/2021 23:19:45
ขยันทำงานมากๆค่ะ,pos,12/8/2021 23:21:03
เล่นแบบนี้เห้อ,neg,12/8/2021 23:24:44
เอาแล้ว,neu,12/8/2021 23:25:36
ติดตามตลอดครับ ชอบมากมีความเป็นทีม,pos,12/8/2021 23:27:25
กากเกินไปไหม,neg,12/8/2021 23:27:39
​เล่นยากขึ้นเลยอ่ะ,neu,12/8/2021 23:38:03
คอมโบยังไม่ได้เลย,neu,12/8/2021 23:38:23
​เกมนี้เล่นมันส์มาก,pos,12/8/2021 23:38:40
​เกมนี้เฉียดตายหลายรอบมาก,neu,12/8/2021 23:38:55
​ต้องติดกำแพงอย่างเดียว,neu,12/8/2021 23:42:26
​ดาวตก ช้าอะไรขนาดนั้นน,neu,12/8/2021 23:42:38
รอตั้งนาน,neu,12/9/2021 0:05:39
ข้อมูลน่าสนใจมากครับ,pos,12/9/2021 0:10:48
มาแค่เสียงก็กรี๊ดแล้ว,pos,12/9/2021 0:11:54
ผมว่าแล้วว่าพี่ต้องเล่น!,neu,12/9/2021 0:18:38
ฉากแมงกะพรุนคือโรแมนติกอยู่นะ,neu,12/9/2021 0:18:57
ย้อนดูคลิปเก่าๆไม่ทันจบคลิปใหม่มาโอเคดูคลิปใหม่ก่อน,neu,12/9/2021 0:19:18
ผมไม่น่าเล่นเกมนี้ก่อนพี่เลยเท่ากับผมสปอยตัวเอง555,neu,12/9/2021 0:19:41
นี่แค่พาร์ทหนึ่งอ่อ,neu,12/9/2021 0:39:01
ควยกากไปไหม,neg,12/9/2021 1:02:53
เลิกเล่นไปเหอะ,neg,12/9/2021 1:03:01
โคตรกากเลย,neg,12/9/2021 1:03:10
กระจอกแต่ปากเก่ง,neg,12/9/2021 1:03:23
พูดน่ารำคาญ,neg,12/9/2021 1:03:55
พูดไม่รู้เรื่องเลย,neg,12/9/2021 1:04:06
เล่นเหี้ยขนาดนี้ยังกล้าสอนอีก,neg,12/9/2021 1:04:33
กระโปกชิบหาย,neg,12/9/2021 1:04:41
เด็กกระโปก,neg,12/9/2021 1:04:49
ผมเคยเล่นเกมนี้แล้วครับสมัยเด็ก,neu,12/9/2021 1:04:50
เล่นโง่เกินไปไหมไอ้สัส,neg,12/9/2021 1:05:22
สัส,neg,12/9/2021 1:05:26
หุบปากไปไอ้ควาย,neg,12/9/2021 1:05:39
ดีจ้า,neu,12/9/2021 1:12:26
สวัสดีค่ะ,neu,12/9/2021 1:12:54
หวัดดี,neu,12/9/2021 1:13:05
เหี้ย,neg,12/9/2021 1:13:25
คอนเทนท์อัดแน่นมากคลิปนี้55555,pos,12/9/2021 1:13:51
มาแล้ว,neu,12/9/2021 1:14:11
ว่าไงวัยรุ่น,neu,12/9/2021 1:14:32
ไงพวก,neu,12/9/2021 1:14:36
เจ๋ง,pos,12/9/2021 1:15:20
วันนี้อากาศดีจังเลยนะครับ,neu,12/9/2021 1:41:01
พี่กากจัง,neg,12/9/2021 1:41:45
อะไรกันครับเนี่ย,neu,12/9/2021 2:51:06
ต่อไปต้องได้ขับเครื่องบินแล้วล่ะครับ,neu,12/9/2021 3:15:06
คิดถึงสมัยเรียนขับรถ ถ้าไม่เกยฟุตบาทตอนเข้าโค้งก็รถพุ่ง😂,neu,12/9/2021 3:15:20
เรื่องวุ่นๆของวัยรุ่นเกียร์กระปุก,neu,12/9/2021 3:15:51
อยากดูอีกจังเลยครับ,neu,12/9/2021 3:16:58
อยากดูอีกครับ,neu,12/9/2021 3:17:03
กิต,neu,12/9/2021 3:20:07
ลิเลียน่า,neu,12/9/2021 3:20:08
กาย,neu,12/9/2021 3:20:20
คาเฟนี่,neu,12/9/2021 3:20:22
เอก,neu,12/9/2021 3:20:28
ลุง,neu,12/9/2021 3:20:40
ทาชิ,neu,12/9/2021 3:20:45
ทาจิ,neu,12/9/2021 3:20:50
เบย์,neu,12/9/2021 3:20:57
กรีน,neu,12/9/2021 3:20:58
มารอท,neu,12/9/2021 3:21:06
สกัด,neu,12/9/2021 3:21:12
คิวเลน,neu,12/9/2021 3:21:19
กบ,neu,12/9/2021 3:21:40
ต้นไม้,neu,12/9/2021 3:21:47
ฟามป่า,neu,12/9/2021 3:21:52
ไอเทม,neu,12/9/2021 3:21:58
รูน,neu,12/9/2021 3:22:02
พลังแฝง,neu,12/9/2021 3:22:09
ฮายาเตะ,neu,12/9/2021 3:22:17
อาร์ม,neu,12/9/2021 3:22:25
นาครอส,neu,12/9/2021 3:22:36
ด้วง,neu,12/9/2021 3:22:43
ไวโอเลต,neu,12/9/2021 3:22:48
ฟอเรนติโน่,neu,12/9/2021 3:22:54
มิก,neu,12/9/2021 3:22:56
เวเรส,neu,12/9/2021 3:23:01
ซีเนียล,neu,12/9/2021 3:23:13
คริกซี่,neu,12/9/2021 3:23:34
คีร่า,neu,12/9/2021 3:23:43
ไมค์,neu,12/9/2021 3:23:45
ม้า,neu,12/9/2021 3:24:02
โจ๊กเกอร์,neu,12/9/2021 3:24:27
แบทแมน,neu,12/9/2021 3:24:32
วันเดอร์,neu,12/9/2021 3:24:40
ซุปเปอร์แมน,neu,12/9/2021 3:24:48
บัพฟ้า,neu,12/9/2021 3:25:19
บัพแดง,neu,12/9/2021 3:25:25
เทพ,pos,12/9/2021 3:33:02
พี่เล่นโคตรเทพ,pos,12/9/2021 3:33:13
เทพมากครับพี่,pos,12/9/2021 3:33:26
เป็นปะเนี่ย,neg,12/9/2021 3:36:17
สวัสดีวันจันทร์,neu,12/9/2021 16:28:22
555+,pos,12/9/2021 16:28:35
อย่างชอบ,pos,12/9/2021 16:28:44
หน้าหี,neg,12/9/2021 21:57:01
ไอ้หน้าส้นตีน,neg,12/9/2021 21:57:53
ระยำ,neg,12/9/2021 21:58:56
หนังหมา,neg,12/9/2021 21:59:14
สถุนตีน,neg,12/9/2021 21:59:34
สถุน,neg,12/9/2021 21:59:49
ไอ้เวร,neg,12/9/2021 22:00:19
คอนเทนต์ห่วยมากเลยครับ,neg,12/9/2021 22:01:12
ห่วย,neg,12/9/2021 22:01:28
ไอ้ชาติหมา,neg,12/9/2021 22:01:55
คลิปเหี้ยมากๆ,neg,12/9/2021 22:03:37
ไม่น่าทำคลิปนี้ออกมาเลย,neg,12/9/2021 22:04:59
น่ารัก,pos,12/9/2021 22:05:20
เป็นเหี้ยไร,neg,12/9/2021 22:08:54
เล่นไม่ดีเลยครับ,neg,12/9/2021 22:09:33
ไอ้หน้าหนังแตด,neg,12/9/2021 22:09:54
ไอ้หน้าหนังหี,neg,12/9/2021 22:10:22
พี่เล่นได้อ่อนมาก,neg,12/9/2021 22:18:13
สวัสดีครับ ท่านสมาชิกชมรมคนชอบหมี วันพระวันเจ้าไม่เว้นกันเลยอยากจะดูแต่หมี ไม่เข้าใจจริงๆเลยทั้งเด็กทั้งผู้ใหญ่ตะโกนหาสรรหาแต่หมี เป็นอะไรกัน! เฮ้ยย ทั้งวันเลยวันนี้ทำงานมีแต่หมีโผล่มาทั้งวันเลยส่งไปให้แล้วก็ยังจะให้ดูอีก มันหมายความว่าไงเนี่ยคนที่ไหนคนจังหวัดอะไรพวกท่านเนี่ย เอ้ยตายแล้ว ดูธรรมะธรรมโมมั่งดิดูปรัชญา คําคม วิถีชีวิต ปรัชญาข่มใจข่มกิเลสตัณหา ดูเป็นบ้างรึเปล่าดูแต่หมี วันพระใหญ่นะ หมีระงมกันทั้งวันทั้งคืนเลยไม่เข้าใจเลยพวกท่านเป็นยังไง จัดมาดิ เอาแบบเบิ้มๆน่ะมะคือลือน่ะ เฮ้ยคนที่ใหนพวกท่านเป็นคนจังหวัดอะไรเกิดวันไหนเกิดปีไหนเกิดปีจอหรือปีอะไรครับผมไม่เข้าใจ ตายแล้วว ทำงานทั้งวันละหมีโผล่ทั้งวันเลย55555 ผมไม่เข้าใจเลยจริงๆโอ้ยตายแล้วพวกท่านมวยกูมาละลาก่อน ดูหมีไปก่อนผมจะดูมวย,neu,12/9/2021 22:23:08
เสียงโคตรหล่อ,pos,12/10/2021 2:17:19
เล่นดี,pos,12/10/2021 2:19:53
เล่น,neu,12/10/2021 2:20:00
อะดูอิน,neu,12/10/2021 2:22:17
ตัวขยะ,neg,12/10/2021 2:23:22
ชิงหมาเกิด,neg,12/10/2021 2:24:52
อัลเบโด,neu,12/10/2021 2:54:15
ฮูเต๋า,neu,12/10/2021 2:54:36
ดิลุค,neu,12/10/2021 2:54:58
ไชด์,neu,12/10/2021 2:55:12
เซียว,neu,12/10/2021 2:55:20
อายากะ,neu,12/10/2021 2:55:32
สวยจังเลย,pos,12/12/2021 0:12:18
ดีจัง,pos,12/12/2021 0:12:55
ดีจังเลย,pos,12/12/2021 0:13:02
อีดอก,neg,12/13/2021 2:10:45
โง่,neg,12/13/2021 2:12:46
ทำคลิปอะไรมาวะ,neg,12/13/2021 2:14:38
น่าเกลียดมาก,neg,12/13/2021 2:16:10
อิสระ ฮาตะ,neu,12/13/2021 2:16:32
เกมนี้แย่มาก,neg,12/13/2021 2:17:52
นำเสนอดี,pos,12/13/2021 2:18:08
พี่ปากเก่งมาก,neg,12/13/2021 2:18:48
พี่เอ๋อดี,neg,12/13/2021 2:20:55
พี่,neu,12/13/2021 2:21:36
โครตนับถือใจคนพากเลยครับ พากยันเกมสุดท้ายพากได้ไงวะใจต้องแข็งมากเลยอะพวกพี่เจ๋งมากเลยครับ เชียร์รอบหน้าไทยเจอกันเอง ทำให้เต็มที่ทั้ง2ทีม,pos,12/13/2021 3:47:55
สุดยอดมากทีมไทย มันสุดๆ,pos,12/13/2021 3:48:18
"ยินดีด้วยนะครับ600,000ซับแล้ว",pos,12/13/2021 3:49:28
สอนเล่นเอลันดอว์หน่อยครับ,neu,12/13/2021 3:49:38
ขอซิวหน่อยครับ หลังปรับมาควรเล่นไงดีครับ,neu,12/13/2021 3:49:47
ขอแบบยืนเลนด้วยได้ไหมครับพี่เจ,neu,12/13/2021 3:50:00
สอนเล่นสกัดแพทปัจจุบัน​หน่อยได้มั้ยครับ,neu,12/13/2021 3:50:07
อยากดูฟอเรนติโน่ครับพี่,neu,12/13/2021 3:50:20
พี่จัดกาลีป่าหน่อยครับ เค้าว่าแรงจัด,neu,12/13/2021 3:50:26
สุดยอดมากเลยครับผม,pos,12/13/2021 3:50:33
สอนเล่นยอนแพทใหม่หน่อยคับ,neu,12/13/2021 3:50:48
ขอทอนยืนเลนหน่อยครับ,neu,12/13/2021 3:50:55
พี่เล่นริกเตอร์ให้ดูหน่อยครับ,neu,12/13/2021 3:51:06
ขอซิลปรับใหม่หน่อยครับ,neu,12/13/2021 3:51:19
ขอไบร์ทป่าแพทนี้หน่อยครับพี่,neu,12/13/2021 3:51:28
อยากดูฟลอเรนแพทใหม่ครับพี่,neu,12/13/2021 3:51:35
ซาต้ายังพอเล่นได้ไหมครับพี่,neu,12/13/2021 3:51:43
6แสนซับแล้วพี่ยินดีด้วย,pos,12/13/2021 3:51:58
ขอทรอนป่าครับ,neu,12/13/2021 3:52:12
ขอคลิปโอเมนหน่อนครับ,neu,12/13/2021 3:52:21
ฟรอเรนหน่อยพี่,neu,12/13/2021 3:52:28
โจ๊กหน่อยพี่,neu,12/13/2021 3:52:39
พี่สอนหาเงินหน่อยครับพี่นะ,neu,12/13/2021 3:53:16
อธิบายสกิลได้ละเอียดมากเลยพี่,pos,12/13/2021 3:53:37
เป็นคำอธิบายที่มีประโยชน์มากครับ,pos,12/13/2021 3:53:50
เป็นฮีโร่แห่งการดักพุ่มที่ดีเพราะชุดเดียวหาย555,neu,12/13/2021 3:54:35
เติมประมาณกี่บาทครับ,neu,12/13/2021 3:54:59
ตัวแก้ทางเอลสุกับเทลได้เลยครับผมว่า,neu,12/13/2021 3:55:07
ขอบคุณที่ลงคลิปบ่อยๆนะครับ,pos,12/13/2021 3:55:32
สอนเล่นเดรกต้าหน่อยครับ,neu,12/13/2021 3:56:15
สอนเล่นมูราดออฟเลนหน่อยครับ,neu,12/13/2021 3:56:29
สอนเล่นฮายาเตะหน่อยครับ,neu,12/13/2021 3:56:36
ชอบมาก,pos,12/13/2021 3:57:09
สอนเล่นอาร์ดูอินหน่อยครับ,neu,12/13/2021 3:57:52
โง่ทำเหี้ยไรมึง,neg,12/13/2021 3:58:55
เล่นควายๆ,neg,12/13/2021 3:59:03
ไปฝึกเล่นมาก่อนเหอะแล้วค่อยมาสอน,neg,12/13/2021 3:59:16
เล่นแย่มาก,neg,12/13/2021 3:59:24
เล่นห่วยมาก,neg,12/13/2021 3:59:32
กระโปกจัด,neg,12/13/2021 4:02:58
กากสุดอะไรมึงรู้ไรบ้างนิด่าไปทั่วเอากับกูปะกูเห็นหลายคลิปละไม่ไหวเลยนะ,neg,12/13/2021 4:03:28
ด่าไม่ดูตัวเองเลย คือไม่เคยแข่งเลยไปว่าเขา,neg,12/13/2021 4:03:51
ด่าคนอื่นตัวเองดีมากมั้ง,neg,12/13/2021 4:04:10
อยากโดนแบนวะ,neg,12/13/2021 4:05:16
รักครับ,pos,12/13/2021 4:05:37
สนุกมากครับพี่,pos,12/13/2021 4:05:48
หมาโง่,neg,12/13/2021 4:06:50
เรื้อนชิบหายเลย,neg,12/13/2021 4:07:07
เรื้อน,neg,12/13/2021 4:07:13
ตอแหลเกิน,neg,12/13/2021 4:07:57
เล่นเป็นป่าววะ,neg,12/13/2021 4:08:04
พ่อมืงตายฟลัดหาพ่อมืงหรอ,neg,12/13/2021 4:08:55
โง่เกินไปป่าว,neg,12/13/2021 4:10:24
หัวเราะทั้งคลิปเลย555,pos,12/13/2021 4:10:41
ได้แนวทางมาก็ขอบคุณมากละครับ,pos,12/13/2021 4:11:10
ว่าแล้วทำไมเมื่อคืนนี้เจอเตียวโรม  เพราะคลิปนี้นี่เอง,neu,12/13/2021 4:11:31
อยากได้เซ็ตรูนครับพี่,neu,12/13/2021 4:11:42
โหดเกิ้นคู่นี้,pos,12/13/2021 4:12:00
แบทโรมใช้รูนอะไรครับ,neu,12/13/2021 4:12:06
ขอเวเรสโรมหน่อยครับ,neu,12/13/2021 4:12:13
อยากให้ลงคลิปทุกวัน,neu,12/13/2021 4:13:21
ติดตามตลอดครับพี่ปอง,pos,12/13/2021 4:13:30
เพลงประกอบตอนต้นคลิปน่ารักมากค่ะ,pos,12/13/2021 4:13:41
สอนเล่นตัววันเดอร์หน่อยค่ะ,neu,12/13/2021 4:14:09
ใส่รุนแทงค์ผมว่ายืนได้นานกว่า,neu,12/13/2021 4:14:19
ชอบดูช่องพี่มากเลยครับ,pos,12/13/2021 4:14:52
ทำคลิปบ่อยๆแบบนี้เลยนะคับ,pos,12/13/2021 4:14:59
เล่นตัวไหนก็โหด,pos,12/13/2021 4:15:06
เอาซิลมาโรมได้มั้ยครับ,neu,12/13/2021 4:15:17
โครตโหดเลยสุดยอดมาก,pos,12/13/2021 4:15:59
พี่เล่นตัวไหนก็สุดทุกตัวครับ,pos,12/13/2021 4:16:23
ตึงมากครับพี่กิต,neu,12/13/2021 4:16:42
ทำไมทุกคนรู้ว่าเจอพี่นัน 555,neu,12/13/2021 4:17:22
ทำไมเขากดยอมแพ้ครับ,neu,12/13/2021 4:17:39
อยากให้พี่ตัดแบบนี้จากสตรีมครับ,neu,12/13/2021 4:18:42
ฮาเกิน,pos,12/13/2021 4:19:30
ติดตามตลอดเลยครับชอบการสอนพี่มาก อธิบายได้ละเอียดมาก,pos,12/13/2021 4:19:49
แนะนำการจัดรูน ไอเท็มและพลังแฝงหน่อยครับ,neu,12/13/2021 4:19:56
ขอรูนไอเท็มพลังแฝงหน่อยฮะ,neu,12/13/2021 4:20:06
อยากให้พี่เล่น นาคอสออฟเลนอะครับ,neu,12/13/2021 4:20:18
สอนเล่นเอนโซหน่อยพี่เจ,neu,12/13/2021 4:20:26
สอนเล่นลิโป้หน่อยได้ไหมครับ,neu,12/13/2021 4:20:40
สอนเล่นแรสหน่อยคับ,neu,12/13/2021 4:20:50
แนะนำออกของหน่อยครับผมชอบนาคอสมาก,neu,12/13/2021 4:20:58
โจ๊กเกอร์หน่อยพี่,neu,12/13/2021 4:21:12
คลิปหน้าขอ ทาจิ,neu,12/13/2021 4:21:20
ขอทาชิหน่อยครับ,neu,12/13/2021 4:21:26
พี่อ่านใจได้ใช่ไหมครับผมอยากเล่นอยู่พอดี,neu,12/13/2021 4:21:42
